Full Name,Date of Birth,Salary,Gender,Designation
Ezequiel Symon,1995-04-05,364744.34,Agender,Accountant IV
Rene Gocher,1997-07-25,126438.02,Female,Programmer IV
Jeno Breslane,2011-09-20,825834.51,Female,Librarian
Tiffani Rentoll,2003-10-25,5926.85,Female,Office Assistant III
Nana Salliss,1991-03-30,6030.49,Female,Research Associate
Ladonna Pottinger,1996-02-03,352690.26,Male,Teacher
Kamilah Burnham,2006-07-27,523087.24,Male,General Manager
Ignatius Baress,2000-03-21,315214.9,Male,Research Assistant III
Aldis Bareham,2014-07-02,11538.85,Female,VP Accounting
Petunia Skully,2013-01-25,95520.67,Male,Media Manager IV
Marcelo Parriss,2014-03-13,903322.25,Female,Assistant Professor
Ardith Wrightham,1998-04-30,64524.19,Male,Business Systems Development Analyst
Justen Leney,2017-07-11,375610.83,Male,Business Systems Development Analyst
Avigdor Flannery,1995-11-14,206123.95,Female,Pharmacist
Janith Smowton,2001-08-01,328354.26,Male,Research Assistant III
Eugenio Hammand,2006-02-17,498250.05,Female,VP Accounting
Aurie Docker,2004-02-14,714358.23,Male,Speech Pathologist
Tait Ramberg,1996-12-09,698512.72,Female,Desktop Support Technician
Belia Hitzmann,2006-01-17,448851.22,Genderfluid,Research Nurse
Liliane Beacon,2020-08-04,889140.04,Female,Actuary
Torey Stedmond,1998-11-16,702994.66,Female,Analyst Programmer
Raychel Yegorev,2004-12-21,954254.9,Female,Recruiting Manager
Artemas Besant,2006-07-18,314507.29,Female,Statistician IV
Den Feyer,2007-01-13,747178.02,Genderqueer,Associate Professor
Saleem Cahani,1991-07-18,375014.11,Female,Graphic Designer
Diana Barclay,1998-09-24,532593.8,Female,General Manager
Nollie Junkinson,1997-05-12,926475.47,Non-binary,Software Consultant
Almeda Landor,2001-02-17,627373.27,Male,Social Worker
Marci Wiffield,2004-05-02,673954.56,Female,Biostatistician III
Nonah Goburn,1990-06-26,551877.83,Female,Help Desk Operator
Wandie Sewall,1998-03-22,16746.27,Male,Business Systems Development Analyst
Corrine Curwen,2017-03-12,90584.23,Female,Physical Therapy Assistant
Menard Verbeke,1990-12-13,812632.61,Genderqueer,Software Engineer I
Alysia Bernaldo,2001-05-27,801287.16,Female,Dental Hygienist
Roseanne Frensche,2011-12-04,708241.74,Female,Human Resources Assistant I
Willy MacCaughen,1998-08-22,92388.82,Female,Account Coordinator
Cherry Scirman,1996-03-06,691520.57,Male,Editor
Kim Guile,2000-07-11,778378.38,Agender,Biostatistician IV
Georgianna McAnalley,2009-08-02,566437.65,Non-binary,Assistant Media Planner
Kim Ragbourne,2005-11-20,267875.73,Female,Staff Scientist
Roman Moylan,2008-03-30,403991.11,Genderqueer,Senior Sales Associate
Filia Skedge,1993-12-06,929590.93,Female,Senior Developer
Nannie Northley,2000-05-24,987494.59,Male,Compensation Analyst
Antoni Brasted,2003-12-26,954869.56,Non-binary,Internal Auditor
Arnold Kilgallon,2007-03-11,861798.63,Male,Nurse Practicioner
Karney Galbreth,2012-08-09,252674.22,Male,Graphic Designer
Harald Chaudrelle,2018-08-29,773561.54,Female,Desktop Support Technician
Shayna Kench,2010-06-13,505779.03,Male,Desktop Support Technician
Charisse Anersen,2010-05-15,281612.91,Female,Programmer I
Codie Dudson,2004-03-04,652948.63,Male,Financial Analyst
Adham Doblin,2005-06-26,383111.02,Male,Research Assistant III
Cordy Jantot,2009-01-04,919723.69,Female,Nurse Practicioner
Collin FitzGeorge,2021-01-06,178173.31,Male,Senior Sales Associate
Tabina Worsnup,1994-08-24,519621.0,Female,Systems Administrator II
Ewart Powney,2013-04-24,482643.55,Male,Recruiter
Mallory Tailby,2005-11-25,153080.35,Male,Help Desk Technician
Gweneth Hansell,1991-03-08,622834.86,Female,Project Manager
Keen Rockall,2020-09-25,342160.14,Female,Software Test Engineer III
Katheryn Stampe,1994-07-16,178858.07,Female,Software Engineer III
Wadsworth Geraldo,2016-07-07,985035.35,Male,Speech Pathologist
Nelle Aliman,2012-01-28,333088.0,Male,Product Engineer
Mycah Cuttell,2001-10-09,754801.56,Male,Web Designer I
Inessa Gloucester,1994-01-12,417770.03,Male,Sales Associate
Vasili Durnin,1994-01-05,34056.5,Male,Web Developer I
Tonie Hanne,2010-12-06,312084.2,Male,Accounting Assistant IV
Trevar Nangle,2007-08-04,683345.82,Male,Speech Pathologist
Danie Tosspell,2007-06-08,107655.77,Female,Media Manager IV
Phillipe Rekes,1992-05-25,352049.18,Male,Human Resources Manager
Gardie Taffee,2005-08-05,317269.59,Female,Clinical Specialist
Julina Pike,2016-12-13,408306.73,Male,Business Systems Development Analyst
Laurette Wardlaw,2018-07-01,674012.36,Genderqueer,Financial Analyst
Kerianne Dobrowski,2021-01-23,427826.89,Female,Nuclear Power Engineer
Lyndsie Sabater,2006-10-11,495790.65,Female,Administrative Officer
Luther Brammar,1994-01-13,783104.42,Non-binary,Office Assistant I
Hendrik Theobald,1992-09-17,239524.41,Female,Research Nurse
Deeyn Brazer,1992-04-13,511672.15,Female,Systems Administrator III
Bjorn Pigny,1991-07-06,22833.56,Female,Assistant Professor
Iosep Furmonger,2007-01-26,66717.36,Female,Professor
Hugibert Dymidowicz,2005-09-29,476017.54,Male,Account Coordinator
Tonya Sallinger,1994-02-07,801108.36,Male,Legal Assistant
Caitlin Fant,2016-12-15,36825.0,Male,Senior Sales Associate
Candie Hulson,2021-10-26,598395.45,Male,Programmer IV
George Bartholin,2008-08-25,87576.46,Female,Tax Accountant
Vonni Trounce,1991-05-25,129105.73,Male,Administrative Officer
Kali Densie,2006-07-12,83174.3,Genderqueer,Data Coordiator
Federico Tween,2004-10-11,956754.25,Male,VP Marketing
Patton Lippiello,2014-06-06,166675.17,Female,Paralegal
Concordia Red,2021-05-13,714806.34,Male,Analog Circuit Design manager
Hazlett Pellew,2016-11-09,284697.09,Female,Software Test Engineer II
Carleton Jelleman,2005-09-06,919200.75,Male,Dental Hygienist
Lane Piwell,2019-12-27,250420.55,Female,Nurse Practicioner
Kristopher Dorot,2006-07-14,165973.07,Female,Web Developer II
Zsazsa Welldrake,1997-11-26,901791.47,Female,Chief Design Engineer
Constancia Bengal,2020-01-21,77111.73,Non-binary,Software Engineer I
Temple Fibben,1997-03-11,542772.49,Non-binary,Help Desk Operator
Graehme Kave,2004-02-23,393398.13,Female,Help Desk Technician
Cornela Badrick,1990-04-20,928373.88,Non-binary,Programmer IV
Ann Grayne,2011-08-24,596590.0,Male,Community Outreach Specialist
Trevor Antognetti,2011-08-23,564956.0,Female,Director of Sales
Nana Crayden,2014-02-10,525213.69,Female,Mechanical Systems Engineer
Marcile Aulsford,2004-06-19,232512.89,Male,Research Associate
Linette Pratte,2017-06-13,769840.95,Male,Programmer III
Denis Vittel,1999-09-16,612199.0,Female,Recruiting Manager
Pattin Gravet,1997-03-01,377788.29,Male,Physical Therapy Assistant
Britta Jelks,1997-11-29,166440.78,Male,Nurse Practicioner
Gianina Everit,2009-10-13,646966.69,Male,Nurse
Eadith Demchen,2010-03-05,879789.23,Female,Staff Scientist
Tamera Chaplain,2008-09-08,458717.9,Male,Human Resources Manager
Vanessa Kissack,1991-06-17,205010.84,Female,Civil Engineer
Tudor Binden,2019-05-30,679303.35,Female,Marketing Manager
Loleta Grasner,2012-11-14,377576.4,Female,Project Manager
Mikol Pude,2004-12-06,688742.77,Bigender,Developer IV
Quintana Emms,1995-01-26,312716.18,Female,Graphic Designer
Findley Tourot,1994-10-21,755444.46,Female,Community Outreach Specialist
Shirlee Farnin,2021-12-03,772883.84,Female,Legal Assistant
Deni Cockling,2003-04-22,676885.14,Female,Junior Executive
